,config_param,auction,decision_type,delta,delta_CI,delta_CI/delta,rank,rank_corrected
0,N,UNIFORM,ng,0.08204,0.05773,0.70371,4,4
1,pi,UNIFORM,ng,0.08981,0.06542,0.72836,3,3
2,pd,UNIFORM,ng,0.1959,0.04021,0.20525,1,1
3,Rc,UNIFORM,ng,0.1033,0.05386,0.52134,2,2
4,N,OPTIMAL,ng,0.08276,0.01929,0.2331,4,4
5,pi,OPTIMAL,ng,0.08923,0.02165,0.24258,3,3
6,pd,OPTIMAL,ng,0.09426,0.01674,0.17762,2,2
7,Rc,OPTIMAL,ng,0.13158,0.02594,0.19711,1,1
8,N,UNIFORM,bgCCUU,0.21612,0.08271,0.3827,3,3
9,pi,UNIFORM,bgCCUU,0.18191,0.10012,0.55038,4,4
10,pd,UNIFORM,bgCCUU,0.28527,0.06429,0.22538,1,1
11,Rc,UNIFORM,bgCCUU,0.26768,0.06131,0.22904,2,2
12,N,OPTIMAL,bgCCUU,0.05216,0.02769,0.53086,4,4
13,pi,OPTIMAL,bgCCUU,0.1118,0.02912,0.26044,2,2
14,pd,OPTIMAL,bgCCUU,0.1001,0.03483,0.34799,3,3
15,Rc,OPTIMAL,bgCCUU,0.25096,0.03837,0.1529,1,1
16,N,UNIFORM,bgCNUU,0.07798,0.03097,0.39715,3,3
17,pi,UNIFORM,bgCNUU,0.05891,0.04979,0.84529,4,4
18,pd,UNIFORM,bgCNUU,0.15019,0.03188,0.21225,2,2
19,Rc,UNIFORM,bgCNUU,0.22176,0.0523,0.23582,1,1
20,N,OPTIMAL,bgCNUU,0.04627,0.02161,0.46695,4,4
21,pi,OPTIMAL,bgCNUU,0.13358,0.03687,0.27599,2,2
22,pd,OPTIMAL,bgCNUU,0.10617,0.03274,0.30836,3,3
23,Rc,OPTIMAL,bgCNUU,0.23727,0.05956,0.251,1,1
24,N,UNIFORM,bgNCUU,0.06784,0.04071,0.60017,4,4
25,pi,UNIFORM,bgNCUU,0.14874,0.02628,0.17668,2,2
26,pd,UNIFORM,bgNCUU,0.11657,0.04328,0.37126,3,3
27,Rc,UNIFORM,bgNCUU,0.17559,0.03829,0.21808,1,1
28,N,OPTIMAL,bgNCUU,0.05773,0.02291,0.3969,4,4
29,pi,OPTIMAL,bgNCUU,0.14729,0.02672,0.18138,1,1
30,pd,OPTIMAL,bgNCUU,0.0837,0.02935,0.3506,3,3
31,Rc,OPTIMAL,bgNCUU,0.13379,0.03625,0.27093,2,2
32,N,UNIFORM,bgNNUU,0.07358,0.02424,0.32944,4,4
33,pi,UNIFORM,bgNNUU,0.12065,0.02779,0.23036,2,2
34,pd,UNIFORM,bgNNUU,0.11138,0.02457,0.22057,3,3
35,Rc,UNIFORM,bgNNUU,0.19571,0.02544,0.13001,1,1
36,N,OPTIMAL,bgNNUU,0.06784,0.0183,0.26977,4,4
37,pi,OPTIMAL,bgNNUU,0.11196,0.02762,0.24672,3,3
38,pd,OPTIMAL,bgNNUU,0.1252,0.02961,0.23651,2,2
39,Rc,OPTIMAL,bgNNUU,0.1948,0.03179,0.1632,1,1
