Dependee Node,Depender Node,Dependee Network,Depender Network,Type
13,0,Power,Water,Physical
26,1,Power,Water,Physical
27,1,Power,Water,Physical
28,2,Power,Water,Physical
10,3,Power,Water,Physical
15,4,Power,Water,Physical
16,4,Power,Water,Physical
33,4,Power,Water,Physical
32,5,Power,Water,Physical
25,6,Power,Water,Physical
22,7,Power,Water,Physical
36,7,Power,Water,Physical
35,7,Power,Water,Physical
48,8,Power,Water,Physical
23,8,Power,Water,Physical
49,9,Power,Water,Physical
41,10,Power,Water,Physical
8,11,Power,Water,Physical
6,12,Power,Water,Physical
7,13,Power,Water,Physical
7,14,Power,Water,Physical
30,3,Water,Power,Physical
26,0,Power,Gas,Physical
49,1,Power,Gas,Physical
8,2,Power,Gas,Physical
9,0,Gas,Power,Physical
3,2,Gas,Power,Physical
25,0,Power,Telecommunication,Physical
6,1,Power,Telecommunication,Physical
49,2,Power,Telecommunication,Physical
23,3,Power,Telecommunication,Physical
5,4,Power,Telecommunication,Physical
21,5,Power,Telecommunication,Physical
3,6,Power,Telecommunication,Physical
20,7,Power,Telecommunication,Physical
1,8,Power,Telecommunication,Physical
18,9,Power,Telecommunication,Physical
15,10,Power,Telecommunication,Physical
11,11,Power,Telecommunication,Physical
13,12,Power,Telecommunication,Physical
10,13,Power,Telecommunication,Physical
9,14,Power,Telecommunication,Physical
26,15,Power,Telecommunication,Physical
0,16,Power,Telecommunication,Physical
28,17,Power,Telecommunication,Physical
7,18,Power,Telecommunication,Physical
45,19,Power,Telecommunication,Physical
2,20,Power,Telecommunication,Physical
8,21,Power,Telecommunication,Physical
24,22,Power,Telecommunication,Physical
0,25,Telecommunication,Power,Cyber
1,6,Telecommunication,Power,Cyber
2,49,Telecommunication,Power,Cyber
3,23,Telecommunication,Power,Cyber
4,5,Telecommunication,Power,Cyber
5,21,Telecommunication,Power,Cyber
6,3,Telecommunication,Power,Cyber
7,20,Telecommunication,Power,Cyber
8,1,Telecommunication,Power,Cyber
9,18,Telecommunication,Power,Cyber
10,15,Telecommunication,Power,Cyber
11,11,Telecommunication,Power,Cyber
12,13,Telecommunication,Power,Cyber
13,10,Telecommunication,Power,Cyber
14,9,Telecommunication,Power,Cyber
15,26,Telecommunication,Power,Cyber
16,0,Telecommunication,Power,Cyber
17,28,Telecommunication,Power,Cyber
18,7,Telecommunication,Power,Cyber
19,45,Telecommunication,Power,Cyber
20,2,Telecommunication,Power,Cyber
21,8,Telecommunication,Power,Cyber
22,24,Telecommunication,Power,Cyber
