ID,Length (ft),Length (km),Start Node,End Node,u,f,c,centrality
0,22073.09372,6.728,71,7,184,22073,149,0.02363975
1,21811.25552,6.648,71,70,344,21811,148,0.044131206
2,29512.68003,8.995,71,68,371,29513,172,0.047510781
3,9311.764139,2.838,1,31,557,9312,96,0.071351688
4,13483.94603,4.110,12,10,228,13484,116,0.029292575
5,20727.52771,6.318,9,10,220,20728,144,0.02824281
6,12836.68672,3.913,12,9,348,12837,113,0.044642865
7,12949.96216,3.947,36,3,664,12950,114,0.085073923
8,8263.543975,2.519,34,36,628,8264,91,0.080537709
9,6708.413327,2.045,34,18,624,6708,82,0.079969801
10,24085.45622,7.341,18,17,338,24085,155,0.043372443
11,13820.82294,4.213,35,3,652,13821,118,0.083609069
12,8724.881713,2.659,35,33,629,8725,93,0.080585534
13,14106.6221,4.300,2,33,641,14107,119,0.08212265
14,30888.02286,9.415,28,15,362,30888,176,0.046403669
15,49063.07961,14.954,7,8,147,49063,222,0.018856722
16,26086.39334,7.951,72,25,628,26086,162,0.080485045
17,11679.64894,3.560,25,62,623,11680,108,0.07993627
18,35093.00732,10.696,73,71,226,35093,187,0.02897275
19,30084.23235,9.170,69,39,599,30084,173,0.076771848
20,30819.13297,9.394,68,44,562,30819,176,0.072073928
21,29263.94871,8.920,6,67,361,29264,171,0.046267879
22,19264.51964,5.872,39,66,259,19265,139,0.033232378
23,8074.556628,2.461,66,57,562,8075,90,0.072068563
24,4976.882683,1.517,40,57,111,4977,71,0.014285714
25,33737.28994,10.283,57,38,534,33737,184,0.068423017
26,8251.843168,2.515,3,55,820,8252,91,0.105082976
27,3207.365982,0.978,55,54,558,3207,57,0.071520406
28,12337.69764,3.761,54,65,510,12338,111,0.06544825
29,8162.643067,2.488,54,22,111,8163,90,0.014285714
30,6477.218079,1.974,65,21,220,6477,80,0.028169014
31,16222.57453,4.945,65,5,535,16223,127,0.068634568
32,12702.83785,3.872,5,48,111,12703,113,0.014285714
33,28830.90972,8.788,63,49,487,28831,170,0.062411672
34,2752.180084,0.839,4,63,488,2752,52,0.062546885
35,14509.36472,4.422,20,4,538,14509,120,0.06899587
36,23911.53625,7.288,50,20,521,23912,155,0.066851166
37,17529.69922,5.343,61,50,542,17530,132,0.069542714
38,8274.805019,2.522,37,31,671,8275,91,0.086045114
39,13664.34579,4.165,64,37,657,13664,117,0.084182234
40,2082.499928,0.635,5,64,669,2082,46,0.085806268
41,14273.74133,4.351,5,64,669,14274,119,0.085806268
42,27745.1464,8.457,61,13,502,27745,167,0.064371523
43,18947.99004,5.775,13,11,467,18948,138,0.05991186
44,26896.24299,8.198,74,4,530,26896,164,0.067906459
45,14610.65442,4.453,69,67,375,14611,121,0.048048745
46,46585.65596,14.199,70,72,458,46586,216,0.058693633
47,9260.251824,2.823,60,1,843,9260,96,0.10807849
48,9634.700099,2.937,60,12,607,9635,98,0.077767935
49,7098.513352,2.164,58,60,496,7099,84,0.063658747
50,2913.694325,0.888,58,30,450,2914,54,0.057676782
51,18309.67451,5.581,14,2,506,18310,135,0.064829294
52,10124.98152,3.086,2,15,355,10125,101,0.045473881
53,3798.87749,1.158,15,59,329,3799,62,0.042150762
54,15966.48208,4.867,27,59,111,15966,126,0.014285714
55,13511.24289,4.118,59,14,346,13511,116,0.044359264
56,12078.72248,3.682,32,30,429,12079,110,0.054971494
57,19343.49868,5.896,32,31,448,19343,139,0.057411945
58,14550.3447,4.435,19,21,111,14550,121,0.014285714
59,14139.12009,4.310,52,18,388,14139,119,0.049785813
60,2567.926355,0.783,52,53,428,2568,51,0.054889939
61,4707.183429,1.435,53,16,111,4707,69,0.014285714
62,1949.021514,0.594,53,2,469,1949,44,0.060161228
63,2238.580304,0.682,51,52,315,2239,47,0.040388545
64,4027.570514,1.228,29,51,111,4028,63,0.014285714
65,24786.03385,7.555,0,51,308,24786,157,0.039533613
66,10028.32375,3.057,0,17,336,10028,100,0.043022609
67,13106.09094,3.995,0,56,545,13106,114,0.069890689
68,11373.18122,3.467,28,56,356,11373,107,0.045666522
69,37756.37038,11.508,56,26,547,37756,194,0.070082097
70,37050.11825,11.293,26,9,533,37050,192,0.06832005
71,1315.686778,0.401,74,47,111,1316,36,0.014285714
72,52623.42242,16.040,4,46,111,52623,229,0.014285714
73,22426.69869,6.836,8,73,167,22427,150,0.021473119
74,9685.796891,2.952,72,73,326,9686,98,0.041851142
75,4064.289122,1.239,68,45,499,4064,64,0.064035393
76,9160.169861,2.792,70,69,748,9160,96,0.09585248
77,19223.47144,5.859,38,3,559,19223,139,0.071677534
78,10300.15385,3.139,24,5,578,10300,101,0.074150625
79,1422.975216,0.434,24,67,585,1423,38,0.074972027
80,13643.48254,4.159,55,39,647,13643,117,0.082942797
81,1927.699266,0.588,6,66,550,1928,44,0.070492787
82,3627.135826,1.106,6,44,575,3627,60,0.073693676
83,5635.172568,1.718,23,45,467,5635,75,0.059853046
84,2478.576558,0.755,62,63,219,2479,50,0.028073336
85,3729.763509,1.137,4,62,507,3730,61,0.065046679
86,20585.66599,6.275,11,74,466,20586,143,0.059807397
87,2283.206594,0.696,1,61,1000,2283,48,0.128215037
88,6013.836266,1.833,14,58,739,6014,78,0.094814231
89,13590.39237,4.142,49,23,463,13590,117,0.059311805
