ID,Length (ft),Length (km),Start Node,End Node,Arc Type,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
0,34036.12911,10.374,4,26,Fiber Optic Cable,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036,53.1,34036,34036
1,16740.54583,5.103,23,1,Fiber Optic Cable,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741,20.7,16741,16741
2,38171.22844,11.635,1,6,Fiber Optic Cable,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171,49.1,38171,38171
3,26940.53114,8.211,6,9,Fiber Optic Cable,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941,410.1,26941,26941
4,29850.40221,9.098,9,17,Fiber Optic Cable,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850,95.3,29850,29850
5,19292.73615,5.88,17,16,Fiber Optic Cable,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293,94.8,19293,19293
6,21887.42464,6.671,15,16,Fiber Optic Cable,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887,66.3,21887,21887
7,28860.9416,8.797,10,15,Fiber Optic Cable,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861,30.9,28861,28861
8,34507.54826,10.518,14,15,Fiber Optic Cable,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508,1,34508,34508
9,19553.85463,5.96,14,13,Fiber Optic Cable,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554,19.4,19554,19554
10,23388.54375,7.129,13,12,Fiber Optic Cable,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389,64.9,23389,23389
11,17101.21303,5.212,12,11,Fiber Optic Cable,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101,1,17101,17101
12,47425.3431,14.455,11,2,Fiber Optic Cable,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425,29.9,47425,47425
13,40423.58993,12.321,8,7,Fiber Optic Cable,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424,52,40424,40424
14,12122.89656,3.695,13,8,Fiber Optic Cable,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123,133.5,12123,12123
15,17775.25872,5.418,9,20,Fiber Optic Cable,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775,459.2,17775,17775
16,16256.88753,4.955,5,4,Fiber Optic Cable,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257,211.7,16257,16257
17,18019.3292,5.492,4,3,Fiber Optic Cable,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019,123.6,18019,18019
18,42977.72609,13.1,4,8,Fiber Optic Cable,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978,1,42978,42978
19,40167.59578,12.243,21,25,Fiber Optic Cable,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168,1,40168,40168
20,82614.08382,25.181,3,21,Fiber Optic Cable,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614,46.6,82614,82614
21,69955.13379,21.322,2,21,Fiber Optic Cable,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955,1,69955,69955
22,55584.42859,16.942,0,21,Fiber Optic Cable,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584,37.3,55584,55584
23,23821.9645,7.261,22,26,Fiber Optic Cable,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822,53.1,23822,23822
24,57276.73127,17.458,22,25,Fiber Optic Cable,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277,1,57277,57277
25,14256.52258,4.345,24,5,Fiber Optic Cable,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257,288.6,14257,14257
26,8501.094548,2.591,6,24,Fiber Optic Cable,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501,288.6,8501,8501
27,53588.23789,16.334,24,23,Fiber Optic Cable,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588,1,53588,53588
28,20108.38263,6.129,26,19,Fiber Optic Cable,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108,1,20108,20108
29,15189.55113,4.63,23,19,Fiber Optic Cable,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190,20.7,15190,15190
30,31705.69686,9.664,25,19,Fiber Optic Cable,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706,1,31706,31706
31,31202.47316,9.511,18,19,Microwave,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202,3.9,31202,31202
32,94438.37338,28.785,19,20,Microwave,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438,1,94438,94438
33,39706.15245,12.102,20,8,Microwave,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706,385.1,39706,39706
34,42394.58075,12.922,8,11,Microwave,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395,98.6,42395,42395
35,125266.3856,38.181,18,11,Microwave,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266,1,125266,125266
